Program;Program EN;Degree;Plan;Version;Total Hours;Level;Code;Course Name;English Name;Hours;Type;Category
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990413-2;السيرة النبوية;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990415-2;تلاوة وتجويد;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990416-2;الإعلام والمجتمع;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990417-2;الخدمة المجتمعية;;2;نظري;متطلبات جامعية
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;1;2002705-3;التفسير المقارن;Comparative Tafsir;3;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;1;2002706-3;النقد والتجديد في الدراسات القرآنية;Criticism and Renewal in Quranic Studies;3;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;1;2002707-3;دراسات في نسخ التفسير وأسانيده;Studies in Tafsir Manuscripts;3;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;1;2002708-3;دراسات في حواشي التفسير;Studies in Tafsir Margins;3;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;2;20029999-0;الاختبار الشامل;PhD Comprehensive Exam;0;اختبار;إجبارية القسم
الدراسات القرآنية;Quranic Studies;دكتوراه;جديدة;1;60;3;2002709-48;الرسالة;Thesis;48;بحث;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;1;2002700-4;فرش القراءات العشر الكبرى;Detailed Analysis of Ten Major Readings;4;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;1;2002701-4;عرض القراءات العشر الكبرى;Presentation of Ten Major Readings;4;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;1;2002702-2;دراسات في القراءات الشاذة وتوجيهها;Studies in Irregular Readings;2;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;1;2002703-2;دراسات في طبقات القراء وأسانيدهم;Studies in Levels of Readers;2;نظري;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;2;20029999-0;الاختبار الشامل;PhD Comprehensive Exam;0;اختبار;إجبارية القسم
الدراسات القرآنية;Quranic Readings;دكتوراه;جديدة;1;60;3;2002704-48;الرسالة;Thesis;48;بحث;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;1;2002851-4;أصول التفسير;Foundation of Exegesis;4;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;1;2002852-2;تاريخ التفسير;History of Exegesis;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;1;2002853-2;دراسات في علوم القرآن;Quranic Studies;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;1;2002854-2;علم القراءات دراية;Concept of Quranic Recitation;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;1;2002855-2;مصادر الدراسات القرآنية;Resources of Quranic Studies;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;2;2002861-4;التفسير التحليلي;Analytic Exegesis;4;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;2;2002862-2;الدراسات القرآنية عند المستشرقين;Quranic Studies by Orientalists;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;2;2002863-2;منهج البحث والتحقيق;Research Methodology;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;2;2002864-2;دراسات في مناهج المفسرين;Studies in Curricula of Exegetes;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;3;2002871-2;التفسير الموضوعي;Thematic Exegesis;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;3;2002872-2;النظريات الحداثية في القرآن;Modernist Theories in Quran;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;3;2002873-2;دراسات في إعجاز القرآن;Studies in Miracle of Quran;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;3;2002874-2;دراسات في لغة القرآن;Studies in Language of Quran;2;نظري;إجبارية القسم
الدراسات القرآنية المعاصرة;Contemporary Quranic Studies;ماجستير;جديدة;1;34;4;2002888-4;مشروع بحثي;Project Research;4;بحث;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;1;2002801-8;القراءات العشر الكبرى (1);Ten Major Quranic Readings 1;8;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;1;2002802-2;علم القراءات دراية;Concept of Quranic Recitation;2;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;1;2002803-2;دراسات في توجيه القراءات;Justification of Quranic Recitation;2;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;2;2002811-8;القراءات العشر الكبرى (2);Ten Major Quranic Readings 2;8;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;2;2002812-2;دراسات في المصاحف القرآنية;Studies in Quranic Manuscripts;2;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;2;2002813-2;منهج البحث والتحقيق;Research Methodology;2;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;3;2002821-8;القراءات العشر الكبرى (3);Ten Major Quranic Readings 3;8;نظري;إجبارية القسم
القراءات;Quranic Readings;ماجستير;جديدة;1;36;4;2002831-4;مشروع بحثي;Project Research;4;بحث;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;2002131-2;علوم القرآن (1);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;2002250-2;أصول التفسير ومناهجه;Foundations of Exegesis;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;20021105-2;قرآن كريم حفظ وتلاوة (1);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;20041102-2;علوم الحديث (1);Al Hadith 1;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;20041103-2;مقدمات علم العقيده (1);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;20041104-2;المدخل للشريعه والفقه الاسلامي (1);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;103171-2;التحرير العربي;;2;نظري;متطلبات جامعية
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;990311-2;المهارات الجامعية;;2;نظري;متطلبات جامعية
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;1;999812-2;اللغة الانجليزية للأغراض الأكاديمية (1);;2;نظري;متطلبات جامعية
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;2;2004111-2;أصول الثقافة الاسلامية;;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;2;20021201-2;قرآن كريم حفظ وتلاوة (2);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;2;20041201-2;التجويد;;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;2;20041203-2;التفسير التحليلي (1);;2;نظري;إجبارية القسم
الدراسات الإسلامية;Islamic Studies;بكالوريوس;قديمة;39;146;2;20041204-2;حديث (1);;2;نظري;إجبارية القسم
