Program;Degree;Code;Course Name;نوع المقرر
القرآن وعلومه;بكالوريوس;2001101-2;مصطلح الحديث;مشترك
القرآن وعلومه;بكالوريوس;2002124-2;تلاوة وحفظ (2);فريد
القرآن وعلومه;بكالوريوس;2002125-2;التجويد (2);مشترك
القرآن وعلومه;بكالوريوس;2002204-2;التفسير (1);مشترك
القرآن وعلومه;بكالوريوس;2002232-2;علوم القرآن (2);مشترك
القرآن وعلومه;بكالوريوس;2002250-2;أصول التفسير ومناهجه;مشترك
القرآن وعلومه;بكالوريوس;2004111-2;أصول الثقافة الاسلامية;مشترك
القرآن وعلومه;بكالوريوس;103281-2;النحو (1);مشترك
القرآن وعلومه;بكالوريوس;105115-2;تاريخ المملكة;مشترك
القرآن وعلومه;بكالوريوس;999813-2;اللغة الإنجليزية للأغراض الأكاديمية ٢;مشترك
القرآن وعلومه;بكالوريوس;101221-2;الفقه (1);مشترك
القرآن وعلومه;بكالوريوس;2001171-2;العقيدة (1);مشترك
القرآن وعلومه;بكالوريوس;2001205-2;الحديث (1);مشترك
القرآن وعلومه;بكالوريوس;2002208-2;التفسير (2);مشترك
القرآن وعلومه;بكالوريوس;2002212-2;قواعد التفسير;فريد
القرآن وعلومه;بكالوريوس;2002215-2;تلاوة وحفظ (3);فريد
القرآن وعلومه;بكالوريوس;2002333-2;علوم القرآن (3);فريد
القرآن وعلومه;بكالوريوس;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);مشترك
القرآن وعلومه;بكالوريوس;103282-2;النحو (2);مشترك
القرآن وعلومه;بكالوريوس;200230-2;فرش القراءات السبع (3);مشترك
القرآن وعلومه;بكالوريوس;2001209-2;الحديث (2);مشترك
القرآن وعلومه;بكالوريوس;2001245-2;العقيدة (2);مشترك
القرآن وعلومه;بكالوريوس;2001322-2;الفقه (2);مشترك
القرآن وعلومه;بكالوريوس;2002222-2;مناهج المفسرين;فريد
القرآن وعلومه;بكالوريوس;2002223-2;علوم القرآن (4);فريد
القرآن وعلومه;بكالوريوس;2002224-2;تلاوة وحفظ (4);فريد
القرآن وعلومه;بكالوريوس;2003220-2;المدخل لدراسة الأنظمة;مشترك
القرآن وعلومه;بكالوريوس;103245-2;النحو (3);مشترك
